Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
-61,68.80000305,1048.6,90,1,1,0.56,2
-61,68.76999664,1855.54,90,1,1,0.45,3
-71,69.16999817,1685.62,90,1,1,0.51,2
-65,69.27999878,1770.92,90,1,1,0,1
-103,0.8199999928,256.07,60,1,1,3.35,4
-61,68.86000061,452.5,90,1,1,0,1
-63,68.76000214,899.88,90,1,1,0.49,2
-73,70.01999664,296.19,90,1,1,0,1
-61,22.12000084,21532.25,90,1,1,0.52,2
-105,0.8199999928,256.07,60,1,1,3.26,4
-63,18.78000069,889.38,90,1,1,1.3,4
-83,31.03000069,1385.85,90,1,1,0,4
-106,0,786.53,90,1,2,2.45,4
-87,31.03000069,17496.52,90,1,1,0,1
-106,0,786.09,90,1,2,2.47,4
-107,0.8199999928,256.07,60,1,1,3.49,4
-106,0,785.38,90,1,2,2.88,4
-106,0,785.48,90,1,2,2.5,4
-99,80.30999756,14898.67,65.41,0,1,0,1
-106,0,785.49,90,1,2,2.6,4
-106,0,785.7,90,1,2,2.61,4
-105,0.8199999928,256.07,60,1,1,5.34,4
-106,0,785.56,90,1,2,2.58,4
-71,26.10000038,804.93,90,1,1,0,3
-91,16.51000023,129.79,90,1,2,2.62,4
-83,29.71999931,401.3,90,1,2,2.64,4
-99,43.63999939,944.89,90,1,2,2.63,4
-105,0.8199999928,256.07,60,1,1,3.53,2
-90,37.02999878,502.6,90,1,2,2.53,4
-98,1.74000001,665.46,90,1,2,1.12,4
-93,31.77000046,627.07,90,1,2,0.48,4
-103,0.8199999928,256.07,60,1,1,3.34,4
-84,27.52000046,651.78,90,1,2,0.55,4
-87,10.09000015,288.66,90,1,2,0.62,4
-94,34.40999985,975.31,90,1,2,0.54,4
-84,21.82999992,442.36,90,1,2,0.51,4
-104,8.329999924,1314.25,90,1,2,0.52,4
-87,0,227.28,90,1,2,0.69,4
-87,29.13999939,467.23,90,1,2,0.5,4
-118,36.68000031,1804.73,57.92,0,2,0.69,4
-103,0.8199999928,256.07,60,1,1,3.42,4
-97,10.5,953.56,90,1,2,0.57,4
-103,22.21999931,892.96,90,1,2,1.78,4
-103,0.8199999928,256.07,60,1,1,3.65,3
-94,44.11000061,714.68,90,1,2,0.71,4
-98,11.10000038,1059.01,90,1,2,2.69,4
-96,0,586.8,90,1,2,2.62,4
-101,0.8199999928,256.07,60,1,1,3.87,4
-99,0,582.24,90,1,2,2.62,4
-91,9.170000076,645.19,90,1,2,0.62,4
-85,0,146.44,90,1,2,0.62,4
-85,0,146.76,90,1,2,0.63,4
-103,0.8199999928,256.07,60,1,1,3.79,4
-85,0,146.74,90,1,2,0.54,4
-85,0,146.92,90,1,2,0.6,4
-85,0,147.17,90,1,2,0.53,4
-85,0,147.29,90,1,2,0.64,4
-101,0.8199999928,256.07,60,1,1,3.81,3
-85,0,147.22,90,1,2,0.62,4
-85,0,147.24,90,1,2,0.58,4
-85,0,147.24,90,1,2,0.6,4
-85,0,147.22,90,1,2,0.64,4
-85,0,147.31,90,1,2,0.62,4
-85,0,147.41,90,1,2,0.64,4
-103,0.8199999928,256.07,60,1,1,4.09,4
-85,0,147.38,90,1,2,0.6,4
-85,0,147.4,90,1,2,0.73,4
-85,0,147.39,90,1,2,0.67,4
-103,0.8199999928,256.07,60,1,1,3.47,4
-85,0,147.43,90,1,2,0.63,4
-85,0,147.73,90,1,2,0.7,4
-85,0,147.89,90,1,2,0.62,4
-85,40.20999908,528.41,90,1,2,0.66,4
-87,44.34999847,1028.21,90,1,2,0.68,4
-69,43.72999954,165.3,90,1,1,0,2
-103,0.8199999928,256.07,60,1,1,3.62,4
-84,36.81999969,381.86,90,1,2,0.67,4
-110,44.20000076,8264.56,90,1,2,0.68,4
-105,0.8199999928,256.07,60,1,1,3.66,4
-63,44.13000107,1244.68,90,1,1,0,3
-53,44.47000122,457.75,90,1,1,0,1
-103,0.8199999928,256.07,60,1,1,3.81,4
-71,44.54999924,2793.05,90,1,1,0,2
-86,44.91999817,1044.91,90,1,2,0.63,4
-85,43.56999969,1511.11,90,1,2,0.67,4
-92,41.24000168,750.4,87.59,1,2,0.71,4
-93,24.29000092,291.24,90,1,2,0.74,4
-103,0.8199999928,256.07,60,1,1,3.32,4
-71,43.88999939,912.26,90,1,1,0.5,3
-96,38.18000031,3000.05,90,1,2,0.55,4
-75,42.88999939,1379.52,90,1,0,0.43,4
-103,0.8199999928,256.07,60,1,1,3.76,4
-94,38.65000153,787.91,90,1,2,0.52,4
-67,45.04999924,586.11,90,1,1,0,4
-94,44.31000137,582.27,90,1,2,0.5,3
-99,42.36000061,298.91,90,1,2,0.49,4
-93,14.61999989,559.06,90,1,2,0.68,4
-103,0.8199999928,256.07,60,1,1,3.75,4
-88,15.27999973,378.51,90,1,2,0.46,4
-96,9.010000229,722.63,90,1,2,0.45,4
-85,10.78999996,525.67,90,1,2,0.5,4
-103,0.8199999928,256.07,60,1,1,3.75,4
-85,15.14999962,268.01,90,1,2,0.46,4
-99,16.53000069,445.88,90,1,2,0.58,4
-63,17.54000092,1793.1,90,1,1,0,1
-115,7.690000057,704.48,90,1,2,0.5,4
-105,0.4600000083,836.97,90,1,2,0.45,4
